id,contentLength,ari,colemanIndex,fleschKincaid,fleschReading,gunningFox,smog,sentenceCount,wordCount,nTag,perplexity,loc,hasAnswer,hasCode
23948309,486,26.75,17.877,25.001,-8.488,26.4,21.641,2,85,4,0,8,f,t
23951585,188,21.018,7.269,20.584,32.978,24,17.122,1,48,1,0,2,f,f
23948313,585,21.466,9.914,19.266,36.492,22,16.322,3,134,1,0,7,f,t
23948314,257,8.427,7.615,8.457,71.239,9.6,8.842,3,62,1,0,13,f,t
23948317,112,3.837,7.587,6.54,63.017,11.2,10.504,3,25,2,0,4,t,t
23948318,1583,10.328,10.226,11.513,48.67,13.6,13.024,17,345,4,0,2,t,f
23948319,1405,72.039,13.861,59.074,-80.003,58.8,22.919,2,279,3,0,4,t,t
23948322,918,5.969,7.585,7.343,67.707,10,10.504,15,213,4,0,12,t,t
23948324,484,13.326,10.094,12.445,53.038,13.6,11.698,4,106,5,0,5,f,t
23948325,215,25.903,4.625,22.293,45.66,26.4,13.024,1,62,2,0,2,f,f
23948326,177,19.596,7.367,16.907,54,19.6,11.208,1,45,5,0,6,t,t
23948332,316,11.171,13.746,12.363,32.701,16.4,14.555,4,59,3,0,6,t,t
23948335,383,9.864,8.265,10.492,59.918,11.2,10.126,4,90,2,0,6,t,t
23948337,2473,74.263,20.706,60.235,-99.904,62.4,35.277,3,399,5,0,4,t,t
23948348,75,4.648,8.809,5.968,66.528,8,8.842,2,16,2,0,2,t,f
23948340,573,10.404,9.775,10.411,58.118,14,13.024,6,127,4,0,7,f,t
23948342,407,3.528,4.228,5.253,86.41,8.4,8.418,7,114,3,0,7,f,t
23948345,457,17.215,13.143,15.278,40.738,19.2,16.322,3,93,2,0,12,f,t
23948346,318,17.29,9.174,15.712,49.205,16.8,11.208,2,75,1,0,2,f,f
23948350,291,32.527,9.782,26.567,23.926,27.6,11.208,1,67,4,0,7,f,t
23948351,407,22.386,10.543,20.568,28.639,23.2,17.122,2,91,1,0,9,t,t
23948354,370,20.412,12.14,17.32,40.35,18.8,13.817,2,78,3,0,10,t,t
23948357,183,20.527,6.656,19.355,41.79,21.6,13.024,1,48,4,0,6,f,t
23948359,553,10.918,11.772,10.762,51.745,14,13.295,6,114,4,0,4,t,t
23948364,336,35.548,14.185,30.353,-5,32.8,22.076,1,66,3,0,4,t,t
23948365,150,7.849,9.185,9.087,60.192,11.2,11.208,2,34,2,0,4,f,t
23948366,240,7.726,7.572,8.633,67.605,10.8,10.504,3,58,2,0,9,t,t
23948370,722,13.157,9.779,13.321,47.052,14.8,13.295,6,160,4,0,8,t,t
23948378,873,8.163,8.782,9.324,60.757,11.6,11.567,11,201,3,0,4,f,t
23948383,244,27.092,9.864,23.107,29.138,25.6,15.903,1,56,2,0,4,t,t
23948387,295,15.957,9.382,15.651,44.304,17.6,13.817,2,69,2,0,2,f,f
23948389,279,6.912,8.482,6.178,79.71,8,8.076,4,65,5,0,4,t,t
23948396,777,11.566,7.938,11.875,56.997,13.6,11.766,7,185,4,0,22,f,t
23948397,464,25.634,10.228,22.754,25.439,25.2,17.122,2,105,2,0,6,t,t
23948403,452,1.756,4.151,3.337,88.356,5.6,7.169,12,116,5,0,8,t,t
23948407,277,8.403,4.668,9.972,68.693,11.2,8.842,3,76,4,0,2,f,f
23948408,1423,17.184,7.547,15.744,53.234,18.4,13.205,9,359,4,0,2,f,f
23948411,2230,201.364,17.707,161.131,-361.972,164.4,53.583,1,392,4,0,6,f,t
23948412,574,8.123,10.465,9.582,53.969,11.2,11.457,8,124,4,0,8,f,t
23948414,319,5.219,6.396,6.607,76.548,9.2,9.387,5,81,3,0,8,t,t
23948419,530,5.897,7.213,5.543,84.266,6.4,3.129,8,130,4,0,40,t,t
23948420,396,6.375,8.28,8.472,61.928,12,11.855,6,93,1,0,5,f,t
23948422,430,9.888,12.714,10.277,46.018,12.4,12.162,6,83,3,0,6,f,t
23948427,367,38.929,13.411,34.319,-19.183,40.8,29.308,1,74,5,0,15,t,t
23948428,870,15.642,9.197,15.809,42.573,20,16.527,6,205,3,0,9,f,t
23948435,86,8.359,7.321,8.333,72.72,12,11.208,1,21,1,0,4,f,t
23948440,291,10.059,8.406,10.429,60.661,12,11.208,3,68,4,0,2,f,f
23948442,588,12.203,7.251,12.277,58.341,14.4,11.979,5,144,4,0,8,t,t
23948447,200,4.596,3.867,6.725,80.687,9.6,8.842,3,57,2,0,4,t,t
23948448,176,2.082,4.256,5.312,77.909,9.2,10.126,4,47,2,0,2,t,f
23948453,306,4.848,6.307,6.832,73.863,8,8.239,5,78,4,0,4,t,f
23948454,128,13.339,7.046,13.371,57.976,18,14.555,1,33,3,0,4,f,t
23948455,135,2.938,5.587,4.795,80.873,5.2,6.427,3,34,1,0,2,f,f
23948472,148,3.577,5.76,3.252,93.711,4.8,3.129,3,37,2,0,4,t,t
23948456,210,10.591,6.987,10.435,66.56,14,12.162,2,52,2,0,4,t,t
23948458,315,10.852,7.938,10.523,64.148,13.6,11.855,3,75,1,0,18,f,t
23948459,176,20.811,17.64,21.242,-2.017,18.8,15.903,1,31,4,0,2,f,f
23948466,147,7.964,12.122,9.543,43.269,12,11.208,3,28,1,0,2,f,f
23948474,331,40.286,6.354,34.419,5.035,38,18.244,1,88,5,0,3,f,t
23948475,566,6.028,8.658,7.024,67.146,8,9.121,10,126,1,0,3,f,f
23948476,498,18.124,9.486,17.19,40.688,18.8,14.068,3,116,3,0,38,f,t
23948477,375,21.641,5.236,20.056,44.776,21.2,8.842,2,105,2,0,11,t,t
23948478,222,24.482,10.352,21.61,29.185,25.6,18.244,1,50,3,0,7,t,t
23948490,214,12.478,11.847,12.031,47.991,14,13.024,2,44,2,0,6,f,t
23948479,1302,16.027,11.589,15.044,42.617,16.8,13.732,9,280,4,0,7,f,f
23948482,373,6.563,6.326,6.725,80.687,10.4,9.889,5,95,5,0,10,t,t
23948486,843,18.532,11.039,17.146,38.036,18.8,14.265,5,185,4,0,4,f,t
23948487,383,40.498,13.497,34.209,-13.052,36.4,22.076,1,77,5,0,55,f,t
23948498,410,22.728,9.096,19.869,38.993,23.6,16.527,2,97,4,0,6,f,t
23948502,298,16.047,8.244,14.971,52.738,18,13.817,2,73,3,0,7,f,t
23948509,303,11.037,9.837,11.084,55.373,14,13.024,3,67,2,0,9,t,t
23948513,256,14.243,10.615,13.586,46.639,18.8,16.527,2,55,2,0,16,f,t
23948515,167,18.419,11.523,17.789,31.645,20.8,17.122,1,36,3,0,4,t,t
23948519,237,2.083,3.35,6.364,72.946,8.8,9.387,5,66,5,0,4,f,t
23948545,78,1.314,4.077,1.991,99.492,4,3.129,2,21,3,0,4,f,t
23948521,288,10.108,13.042,10.798,42.137,13.6,13.024,4,55,4,0,4,f,t
23948524,223,5.269,7.459,6.272,73.248,9.6,10.126,4,52,2,0,8,f,t
23948526,464,9.491,11.968,10.21,50.061,14.4,13.559,6,95,3,0,5,f,t
23948527,210,23.352,8.938,20.902,34.261,24,15.903,1,50,4,0,9,t,t
23948530,119,1.055,3.44,3.361,90.561,5.6,6.427,3,33,2,0,8,f,t
23948532,547,30.698,9.371,25.687,24.889,26.8,12.162,2,128,3,0,6,f,t
23948534,151,1.698,2.535,3.986,93.798,6,3.129,3,46,1,0,6,f,t
23948547,1299,17.704,7.815,16.048,52.144,18.8,13.228,8,324,3,0,5,t,t
23948549,427,23.421,11.838,20.309,30.499,23.2,17.122,2,91,3,0,7,t,t
23948552,853,12.079,10.958,11.423,53.465,13.2,12.162,8,181,2,0,13,t,t
23948553,61,7.171,9.838,7.634,63.486,14.4,13.024,1,13,3,0,2,f,f
23948554,381,6.15,7.414,6.503,74.86,8.4,9.3,6,89,3,0,4,f,t
23948557,774,13.823,8.527,13.023,55.125,16,13.295,6,180,3,0,5,t,t
23948558,462,13.237,11.546,13.191,43.238,15.6,14.192,4,96,3,0,2,t,f
23948559,169,8.47,8.085,9.32,63.865,12,11.208,2,40,2,0,4,t,t
23948560,135,14.255,5.691,14.467,57.242,18,13.024,1,37,1,0,2,f,f
23948562,461,54.285,8.229,44.666,-23.904,48.8,22.076,1,113,2,0,18,t,t
23948563,374,7.518,8.52,8.693,63.733,13.6,13.024,5,87,4,0,4,f,f
23948567,271,14.371,8.024,14.735,49.089,18.8,15.903,2,67,2,0,10,f,t
23948569,105,2.519,5.938,4.652,76.553,6.4,7.794,3,25,2,0,8,f,t
23948570,146,1.78,4.442,5.239,73.976,6.8,8.076,4,37,3,0,6,f,t
23948573,376,20.737,12.233,19.083,28.598,20,15.248,2,79,3,0,4,f,t
23948574,394,14.762,11.16,14.251,42.17,18.4,16.322,3,83,4,0,25,f,t
23948578,80,7.902,8,9.209,62.876,9.6,8.842,1,19,2,0,4,f,t
23948580,150,16.256,9.443,14.58,52.87,16,11.208,1,35,5,0,10,f,t
23948581,1212,26.469,16.212,23.393,6.782,26.4,21.194,5,223,5,0,8,f,t
23948586,503,28.873,7.713,25.088,27.404,28,15.248,2,126,2,0,6,f,t
23948588,317,17.692,12.49,15.516,42.595,19.2,15.903,2,66,2,0,23,t,t
23948589,160,18.38,14.6,14.771,44.376,17.2,14.555,1,31,3,0,2,f,f
23948593,240,28.461,5.948,25.191,30.229,27.2,11.208,1,65,3,0,4,f,t
23948595,653,9.542,8.175,9.234,68.043,12.8,11.766,7,154,3,0,4,f,t
23948596,193,-1.197,1.499,2.069,94.476,3.6,5.288,7,56,3,0,4,t,t
23948599,160,10.63,13.6,10.249,49.193,12.4,12.162,2,31,3,0,2,f,f
23948676,654,14.268,9.584,13.336,51.456,15.6,13.024,5,146,3,0,21,f,t
23948603,287,3.825,5.154,6.507,75.84,10,10.355,5,77,4,0,2,f,f
23948606,281,5.383,4.695,5.863,87.314,8.4,7.169,4,77,4,0,9,t,t
23948607,495,10.197,8.119,10.177,63.776,12.4,11.208,5,117,5,0,2,t,f
23948608,204,7.741,9.508,9.439,53.512,11.6,11.855,3,44,2,0,4,f,t
23948610,850,7.628,9.689,8.284,63.725,8.8,9.3,12,189,5,0,6,t,t
23948616,232,3.945,5.24,6.823,73.754,7.6,8.076,4,62,1,0,6,t,t
23948617,178,19.531,9.162,17.366,45.362,18.4,11.208,1,42,4,0,2,f,f
23948619,186,20.437,10.92,18.82,33.161,20,14.555,1,41,1,0,8,f,t
23948620,289,6.475,6.842,7.655,72.24,10.4,10.126,4,72,4,0,6,t,t
23948621,615,6.777,9.032,7.856,62.786,9.6,10.355,10,135,4,0,6,f,t
23948624,1238,11.907,8.519,11.583,58.648,14,12.243,11,288,1,0,11,f,t
23948627,589,9.015,9.482,10.179,55.668,12,12.032,7,132,3,0,10,f,t
23948629,326,37.255,8.817,32.681,-0.32,35.2,19.287,1,78,3,0,6,f,t
23948631,506,8.35,7.831,9.244,64.71,12,11.538,6,121,4,0,5,f,t
23948642,264,7.51,9.48,7.564,66.213,8.8,9.516,4,57,1,0,6,f,t
23948644,204,22.458,10.321,17.485,51.636,19.2,8.842,1,46,2,0,2,t,f
23948645,149,4.454,7.275,7.503,62.05,8.8,9.726,3,35,2,0,5,t,t
23948647,903,19.859,11.198,17.266,41.447,20,15.382,5,197,4,0,12,f,t
23948651,961,10.969,7.598,11.553,58.146,14.4,13.024,9,232,3,0,17,t,t
23948652,434,11.163,7.545,12.067,55.306,14.4,12.603,4,105,1,0,4,t,t
23948658,191,6.658,8.363,6.191,76.208,8,8.842,3,43,1,0,2,f,f
23948659,193,8.378,11.348,8.542,56.978,11.2,11.208,3,39,2,0,4,f,t
23948662,378,42.272,10.089,36.336,-12.274,38.4,20.267,1,86,2,0,13,t,t
23948663,132,5.66,6.76,6.578,77.288,10,10.126,2,33,1,0,4,f,t
23948669,374,20.552,11.064,18.82,33.161,23.2,18.244,2,82,1,0,2,t,f
23948670,724,38.706,12.82,33.343,-11.297,36.8,24.504,2,149,4,0,10,t,t
23948671,158,9.371,11.401,10.869,46.524,11.2,11.208,2,33,5,0,2,t,f
23948673,285,15.218,6.582,14.611,57.101,18,13.024,2,75,2,0,8,t,t
23948680,170,8.349,7.622,9.673,62.223,13.6,13.024,2,41,2,0,4,t,t
23948683,259,13.996,9.056,12.715,56.445,15.6,13.024,2,59,3,0,8,t,t
23948684,1510,27.911,10.054,24.47,21.742,28,19.287,6,344,5,0,15,t,t
23948694,283,32.612,8.012,27.556,22.179,28.8,11.208,1,70,1,0,4,f,t
23948695,392,4.791,6.504,7.838,63.043,9.2,9.957,7,95,4,0,5,t,t
23948696,560,16.207,12.915,14.155,43.004,16.4,14.555,4,111,5,0,10,t,t
23948723,282,31.153,10.565,27.336,11.29,31.2,21.194,1,63,2,0,6,t,t
23948702,305,10.522,8.151,10.814,60.275,12.8,11.208,3,72,3,0,8,t,t
23948704,510,9.249,11.364,10.426,46.519,14.4,13.484,7,103,5,0,4,t,t
23948707,568,7.662,10.314,8.605,56.917,10.8,10.981,9,119,3,0,8,t,t
23948712,316,5.599,7.372,7.426,69.248,9.6,9.889,5,77,4,0,6,t,t
23948715,148,3.577,5.76,7.079,66.273,12,11.855,3,37,2,0,2,t,f
23948719,558,6.912,8.482,7.812,67.997,10,10.126,8,130,2,0,2,f,f
23948720,234,4.096,5.43,5.3,84.67,7.2,7.169,4,62,2,0,8,t,t
23948722,2598,42.44,24.575,35.727,-48.578,36.8,27.59,6,379,5,0,29,f,t
23948725,156,7.98,8.723,9.458,59.315,12.4,12.162,2,36,1,0,2,f,f
23948726,322,10.519,14.9,8.872,52.116,8.4,9.387,5,58,2,0,2,f,f
23948727,65,6.48,7.723,7.567,67.53,11.2,11.208,1,15,4,0,6,t,t
23948728,2687,75.749,10.06,62.166,-78.125,66,28.03,4,612,1,0,9,t,t
23948735,274,29.528,18.537,25.587,-4.67,28.8,22.919,1,47,5,0,2,f,f
23948738,152,3.135,4.582,5.245,81.207,9.2,9.726,3,40,1,0,5,t,t
23948740,594,5.765,8.705,7.148,65.191,9.6,10.019,11,132,4,0,4,f,t
23948742,988,34.83,24.333,30.034,-34.178,30.4,24.248,3,145,2,0,13,t,t
23948759,296,5.872,7.839,5.852,77.328,8,8.842,5,68,2,0,12,f,t
23948748,172,4.073,4.713,6.518,75.05,9.2,9.726,3,45,1,0,9,f,t
23948760,884,13.445,8.232,13.018,54.656,15.6,13.257,7,208,2,0,15,f,t
23948761,233,6.604,5.335,8.647,69.874,9.2,7.794,3,62,2,0,4,f,t
23948762,83,0.859,2.57,2.365,99.48,4.8,3.129,2,24,3,0,2,f,f
23948763,317,7.853,8.095,8.557,67.108,10.8,10.686,4,75,2,0,8,f,t
23948764,457,8.918,7.021,8.366,75.338,10.4,8.842,5,113,2,0,14,f,t
23948765,4796,37.831,17.473,31.006,-10.915,32,21.264,13,849,5,0,13,f,t
23948767,620,13.101,7.874,13.096,53.892,16,13.663,5,148,3,0,6,f,t
23952519,194,21.606,8.005,20.093,36.503,23.2,15.903,1,48,5,0,2,f,f
23948770,419,10.224,5.433,10.86,66.631,13.2,10.686,4,111,2,0,9,t,t
23948774,293,10.07,8.211,10.31,62.107,12,10.504,3,69,3,0,6,f,t
23948834,318,3.532,4.767,6.297,74.558,7.6,8.344,6,83,3,0,7,f,t
23948776,226,25.923,7.151,21.882,41.486,25.6,14.555,1,58,2,0,4,f,t
23948780,232,26.782,6.975,23.15,35.955,25.2,11.208,1,60,5,0,8,t,t
23948781,296,34.914,7.14,31.129,7.248,34.8,20.267,1,76,2,0,4,f,t
23948788,105,10.123,4.526,11.589,63.628,11.6,3.129,1,29,2,0,4,t,t
23948789,226,26.112,6.762,22.62,37.974,24,8.842,1,59,4,0,4,f,t
23948790,361,9.091,7.924,9.26,66.966,10,8.842,4,86,2,0,7,f,t
23948792,161,6.955,5.253,9.26,66.966,10.8,10.126,2,43,3,0,6,t,t
23948793,421,23.3,14.813,22.494,5.928,26.8,22.076,2,81,4,0,12,f,t
23948796,660,11.142,11.784,10.728,52.75,13.6,13.024,7,136,5,0,2,f,f
23948798,96,8.961,4.948,9.981,69.814,11.6,8.842,1,26,2,0,6,t,t
23948799,612,39.423,4.338,33.62,13.433,37.2,14.555,2,179,1,0,9,t,t
23948808,266,5.644,6.584,6.089,81.243,8,8.076,4,67,2,0,4,f,t
23948815,408,7.979,7.722,7.948,72.99,11.2,10.794,5,98,2,0,3,t,f
23948818,199,10.097,7.619,9.503,69.675,12,10.126,2,48,2,0,5,f,t
23948819,481,9.194,5.865,9.83,69.111,14.4,12.688,5,125,2,0,10,f,t
23948820,945,13.464,14.47,13.138,36.097,13.6,13.205,9,178,2,0,16,t,t
23948826,235,4.34,5.891,6.413,76.245,8.4,8.842,4,61,1,0,7,t,t
23948828,905,16.322,9.109,14.476,54.802,16.8,12.162,6,214,3,0,4,t,t
23948831,700,14.951,8.311,14.309,53.385,17.6,13.968,5,171,4,0,7,t,t
23948832,259,7.354,9.441,8.834,56.661,9.6,10.126,4,56,2,0,2,f,f
23948836,197,2.139,2.92,4.409,88.386,5.6,3.129,4,56,5,0,7,f,t
23948839,280,5.803,8.378,5.619,77.217,7.2,8.239,5,63,1,0,5,f,t
23949924,237,11.998,4.431,12.059,70.052,14.4,8.842,2,69,3,0,2,f,f
23948847,295,9.973,7.673,8.764,74.382,10.8,8.842,3,71,3,0,2,t,f
23948848,934,33.27,23.216,28.683,-26.87,28.4,22.642,3,141,3,0,4,t,t
23948849,165,18.62,13.65,14.801,47.722,18,14.555,1,33,2,0,8,t,t
23948855,299,6.6,6.372,7.036,78.461,11.2,10.686,4,76,3,0,4,f,t
23948858,417,8.744,9.054,8.588,67.329,12.4,11.979,5,95,2,0,2,f,f
23948859,470,12.856,9.818,13.385,45.41,15.6,13.817,4,104,2,0,6,f,t
23948860,242,4.881,6.567,6.8,73.471,9.2,9.516,4,61,4,0,2,f,f
23948865,230,-0.121,1.553,3.794,88.639,7.2,8.344,6,70,2,0,5,f,t
23948873,215,10.732,6.225,10.797,66.635,12.8,10.126,2,55,2,0,68,f,t
23948876,822,43.615,13.019,37.188,-21.943,40.4,25.254,2,168,5,0,5,f,f
23948877,295,1.955,4.476,4.035,85.979,6.8,7.957,7,78,2,0,6,t,t
23948879,655,35.7,11.561,30.233,3.878,34.4,22.502,2,141,2,0,9,f,f
23948880,124,4.518,5.332,5.506,84.978,7.6,7.169,2,33,4,0,2,t,f
23948881,241,26.84,9.548,23.318,27.627,25.2,14.555,1,56,2,0,12,f,t
23948883,703,41.383,7.727,33.949,8.4,37.2,15.248,2,176,5,0,2,f,f
23948886,391,46.056,7.942,38.663,-9.362,40.4,14.555,1,97,3,0,15,t,t
23948887,319,5.219,6.396,6.024,80.725,6.8,5.684,5,81,4,0,11,f,t
23948889,281,16.204,12.755,15.348,34.897,18,15.903,2,56,3,0,4,f,t
23948914,406,14.58,9.64,13.828,51.732,16.4,13.559,3,94,2,0,3,t,f
23948890,261,28.522,11.652,23.95,23.095,28.8,20.267,1,56,2,0,7,t,t
23948891,408,14.68,9.765,13.702,52.632,15.2,11.855,3,94,3,0,4,f,t
23948893,143,6.88,7.973,7.352,72.633,8.8,8.842,2,34,2,0,9,f,t
23953784,177,9.333,13.792,8.724,52.106,9.2,9.726,3,33,1,0,4,f,t
23948899,194,21.32,10.773,18.468,39.241,20.8,14.555,1,43,5,0,8,f,t
23948902,245,7.962,7.658,8.88,66.426,11.6,11.208,3,59,3,0,4,f,t
23948903,203,5.105,8.193,5.056,79.297,8.4,9.516,4,46,5,0,2,t,f
23948906,464,5.519,6.361,6.684,77.164,9.2,9.607,7,118,5,0,8,t,t
23948913,1729,35.669,18.839,29.497,-11.688,32.4,24.504,5,294,4,0,18,f,t
23948920,871,16.405,11.86,15.756,35.239,18.4,16.114,6,179,4,0,45,t,t
23948922,329,18.047,10.745,16.426,42.308,19.2,15.248,2,73,3,0,2,t,f
23948923,483,7.125,5.778,7.678,77.42,10.8,9.726,6,126,3,0,4,t,f
23948924,470,6.356,8.818,7.293,65.927,8.8,9.516,8,104,4,0,10,t,t
23948925,408,10.356,7.474,10.511,63.786,14.4,13.024,4,99,2,0,12,f,t
23948926,202,6.391,7.987,9.087,58.408,12.8,12.458,3,48,5,0,2,t,f
23948928,416,46.414,10.266,39.398,-19.975,41.6,21.194,1,94,3,0,4,f,f
23948933,339,6.242,7.55,6.347,78.765,7.6,7.554,5,82,3,0,4,f,t
23948936,424,15.242,9.426,14.563,49.431,15.6,11.208,3,99,5,0,14,f,t
23949152,204,3.785,5.76,6.273,72.8,8.4,9.516,4,51,1,0,6,f,t
23948939,134,4.679,3.97,7.036,78.461,10.4,10.126,2,38,5,0,2,t,f
23948945,197,6.145,7.888,7.592,68.533,10,10.504,3,47,2,0,8,f,t
23948947,636,18.299,14.656,16.933,28.434,19.6,17.122,4,123,2,0,4,t,t
